Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1000572,Multifamily residential,1/1/16,7,"$4,430,302.12 ",4.00%,"$7,145,648.58 ","$353,709.60 ",2,60,31,11%,2006,0
Commercial Real Estate,ABC1000573,Multifamily residential,1/1/12,10,"$5,020,814.35 ",5.07%,"$6,198,536.24 ","$414,682.07 ",1.63,60,16,10%,2006,0
Commercial Real Estate,ABC1000574,Multifamily residential,1/1/15,8,"$2,177,549.42 ",5.04%,"$3,512,176.48 ","$142,594.37 ",1.3,60,39,7%,1996,0
Commercial Real Estate,ABC1000575,Multifamily residential,1/1/13,10,"$1,240,645.08 ",5.07%,"$1,851,709.07 ","$45,552.04 ",0.72,120,100,32%,2009,0
Commercial Real Estate,ABC1000576,Office building,1/1/12,8,"$2,559,906.35 ",4.43%,"$3,555,425.49 ","$250,301.95 ",2.21,60,28,38%,1997,0
Commercial Real Estate,ABC1000577,Retail space,1/1/13,7,"$1,890,774.49 ",4.05%,"$3,099,630.31 ","$137,933.55 ",1.8,120,39,9%,2008,0
Commercial Real Estate,ABC1000578,Office building,1/1/19,8,"$3,970,873.71 ",4.35%,"$6,404,635.02 ","$264,511.43 ",1.53,60,60,15%,1995,1
Commercial Real Estate,ABC1000579,Retail space,1/1/16,4,"$28,300,087.31 ",4.05%,"$54,423,244.83 ","$5,142,996.64 ",4.49,60,36,8%,2001,0
Commercial Real Estate,ABC1000580,Multifamily residential,1/1/19,6,"$8,500,486.70 ",5.64%,"$13,935,224.09 ","$1,033,993.63 ",2.16,180,33,10%,2008,0
Commercial Real Estate,ABC1000581,Multifamily residential,1/1/12,7,"$32,410,071.23 ",5.35%,"$45,647,987.64 ","$4,391,336.41 ",2.53,120,24,30%,2007,0
Commercial Real Estate,ABC1000582,Multifamily residential,1/1/11,6,"$1,059,028.81 ",5.67%,"$1,857,945.29 ","$114,077.84 ",1.9,60,43,36%,1998,0
Commercial Real Estate,ABC1000583,Retail space,1/1/15,9,"$800,474.19 ",4.57%,"$1,212,839.68 ","$44,753.78 ",1.22,60,51,31%,1999,0
Commercial Real Estate,ABC1000584,Retail space,1/1/16,9,"$22,932,950.30 ",4.13%,"$29,029,051.01 ","$2,084,285.86 ",2.2,60,50,6%,2006,0
Commercial Real Estate,ABC1000585,Office building,1/1/16,5,"$3,612,297.91 ",4.73%,"$6,450,531.98 ","$379,291.28 ",2.22,60,41,7%,2006,0
Commercial Real Estate,ABC1000586,Retail space,1/1/19,10,"$4,207,675.74 ",4.41%,"$5,464,513.95 ","$277,597.31 ",1.5,120,35,10%,1997,1
Commercial Real Estate,ABC1000587,Retail space,1/1/15,5,"$811,554.08 ",4.87%,"$1,330,416.52 ","$111,888.03 ",2.83,60,36,8%,2009,0
Commercial Real Estate,ABC1000588,Office building,1/1/16,7,"$931,262.63 ",5.38%,"$1,552,104.39 ","$92,195.00 ",1.84,60,10,5%,2009,0
Commercial Real Estate,ABC1000589,Multifamily residential,1/1/11,7,"$544,852.70 ",4.99%,"$789,641.60 ","$69,962.25 ",2.57,60,2,11%,2000,0
Commercial Real Estate,ABC1000590,Multifamily residential,1/1/15,11,"$2,148,850.95 ",5.11%,"$3,026,550.63 ","$39,647.81 ",0.36,120,90,7%,1995,0
Commercial Real Estate,ABC1000591,Office building,1/1/12,5,"$4,131,898.37 ",5.46%,"$7,123,962.70 ","$643,293.83 ",2.85,60,19,15%,1997,0
Commercial Real Estate,ABC1000592,Multifamily residential,1/1/17,5,"$655,119.33 ",4.58%,"$1,169,855.95 ","$70,308.34 ",2.34,60,50,28%,2005,0
Commercial Real Estate,ABC1000593,Multifamily residential,1/1/18,4,"$5,088,629.98 ",5.04%,"$9,601,188.63 ","$739,291.52 ",2.88,120,92,13%,1998,0
Commercial Real Estate,ABC1000594,Multifamily residential,1/1/18,10,"$1,159,382.37 ",4.31%,"$1,588,195.03 ","$46,216.48 ",0.92,180,157,35%,2001,1
Commercial Real Estate,ABC1000595,Retail space,1/1/16,9,"$3,050,536.16 ",4.36%,"$3,813,170.19 ","$308,104.15 ",2.32,60,32,30%,1999,0
Commercial Real Estate,ABC1000596,Retail space,1/1/15,6,"$4,059,967.99 ",4.00%,"$5,970,541.17 ","$517,048.86 ",3.18,120,50,32%,1997,0
Commercial Real Estate,ABC1000597,Office building,1/1/15,6,"$1,243,251.77 ",4.20%,"$1,973,415.51 ","$141,099.21 ",2.7,60,6,14%,1998,0
Commercial Real Estate,ABC1000598,Retail space,1/1/12,10,"$1,569,504.79 ",5.41%,"$2,150,006.57 ","$93,095.28 ",1.1,60,34,31%,2001,0
Commercial Real Estate,ABC1000599,Retail space,1/1/14,7,"$1,075,891.17 ",4.28%,"$1,582,192.90 ","$118,031.59 ",2.56,120,109,8%,2001,0
Commercial Real Estate,ABC1000600,Retail space,1/1/16,10,"$21,550,664.53 ",5.22%,"$27,279,322.19 ","$1,934,103.94 ",1.72,60,60,7%,2006,0
Commercial Real Estate,ABC1000601,Multifamily residential,1/1/15,7,"$1,178,119.13 ",5.92%,"$1,785,028.99 ","$136,019.21 ",1.95,120,64,10%,2000,0
Commercial Real Estate,ABC1000602,Retail space,1/1/18,10,"$6,527,778.56 ",4.40%,"$9,742,953.08 ","$108,146.78 ",0.38,60,17,15%,2005,0
Commercial Real Estate,ABC1000603,Multifamily residential,1/1/14,9,"$10,890,445.54 ",4.47%,"$14,520,594.05 ","$1,022,249.82 ",2.1,120,26,26%,2005,0
Commercial Real Estate,ABC1000604,Office building,1/1/16,6,"$2,607,498.92 ",5.53%,"$4,419,489.69 ","$310,690.12 ",2.15,60,50,29%,1995,0
Commercial Real Estate,ABC1000605,Multifamily residential,1/1/19,4,"$658,277.80 ",5.82%,"$1,371,412.07 ","$103,130.19 ",2.69,60,5,9%,1997,0
Commercial Real Estate,ABC1000606,Multifamily residential,1/1/11,11,"$539,801.38 ",5.23%,"$760,283.64 ","$13,380.99 ",0.47,120,39,39%,2001,0
Commercial Real Estate,ABC1000607,Retail space,1/1/17,7,"$4,349,441.01 ",4.47%,"$6,396,236.78 ","$408,719.53 ",2.1,120,113,13%,2009,0
Commercial Real Estate,ABC1000608,Multifamily residential,1/1/18,10,"$4,022,751.58 ",4.92%,"$5,363,668.77 ","$269,792.54 ",1.36,60,31,11%,2003,0
Commercial Real Estate,ABC1000609,Office building,1/1/15,8,"$8,948,188.77 ",4.20%,"$12,257,792.83 ","$764,886.27 ",2.04,120,63,8%,1999,0
Commercial Real Estate,ABC1000610,Multifamily residential,1/1/14,8,"$3,360,952.54 ",4.52%,"$4,604,044.58 ","$329,189.19 ",2.17,120,45,3%,2001,0
Commercial Real Estate,ABC1000611,Retail space,1/1/11,9,"$2,748,466.16 ",5.17%,"$3,817,314.12 ","$232,474.43 ",1.64,120,3,40%,1995,0
Commercial Real Estate,ABC1000612,Retail space,1/1/18,9,"$607,615.22 ",4.60%,"$778,993.87 ","$56,399.16 ",2.02,120,44,2%,2009,0
Commercial Real Estate,ABC1000613,Office building,1/1/15,7,"$3,229,746.80 ",4.65%,"$5,126,582.22 ","$326,050.63 ",2.17,120,95,14%,1996,0
Commercial Real Estate,ABC1000614,Multifamily residential,1/1/11,11,"$15,196,841.15 ",5.20%,"$17,878,636.64 ","$1,074,506.06 ",1.36,180,162,7%,1997,0
Commercial Real Estate,ABC1000615,Multifamily residential,1/1/13,9,"$8,565,229.49 ",5.79%,"$12,595,925.72 ","$682,699.17 ",1.38,60,60,35%,1997,0
Commercial Real Estate,ABC1000616,Multifamily residential,1/1/14,6,"$1,830,524.94 ",4.25%,"$2,652,934.70 ","$257,334.67 ",3.31,60,19,40%,2006,0
Commercial Real Estate,ABC1000617,Retail space,1/1/15,8,"$4,841,970.72 ",4.75%,"$7,226,821.96 ","$456,735.15 ",1.99,120,88,12%,2006,0
Commercial Real Estate,ABC1000618,Office building,1/1/14,8,"$3,133,794.94 ",4.22%,"$4,017,685.82 ","$315,790.11 ",2.39,60,49,30%,2009,0
Commercial Real Estate,ABC1000619,Multifamily residential,1/1/18,5,"$6,559,254.04 ",5.71%,"$13,386,232.74 ","$603,719.10 ",1.61,180,169,8%,2006,0
Commercial Real Estate,ABC1000620,Retail space,1/1/18,11,"$1,523,467.73 ",5.75%,"$1,953,163.75 ","$84,767.31 ",0.97,120,86,2%,1996,0
Commercial Real Estate,ABC1000621,Retail space,1/1/14,10,"$8,806,439.62 ",5.45%,"$11,587,420.56 ","$757,817.30 ",1.58,120,79,15%,1996,1
Commercial Real Estate,ABC1000622,Multifamily residential,1/1/11,10,"$7,927,204.83 ",5.63%,"$10,034,436.49 ","$733,517.31 ",1.64,60,24,8%,2004,1
Commercial Real Estate,ABC1000623,Multifamily residential,1/1/13,4,"$2,917,221.37 ",5.18%,"$5,029,692.02 ","$657,380.75 ",4.35,60,28,6%,1998,0
Commercial Real Estate,ABC1000624,Retail space,1/1/18,9,"$2,626,749.05 ",4.80%,"$3,920,520.96 ","$132,121.56 ",1.05,60,60,10%,1998,0
Commercial Real Estate,ABC1000625,Retail space,1/1/12,6,"$3,543,573.43 ",4.41%,"$5,135,613.67 ","$442,689.90 ",2.83,60,57,6%,1998,0
Commercial Real Estate,ABC1000626,Office building,1/1/15,4,"$1,567,678.12 ",4.96%,"$3,135,356.24 ","$229,508.08 ",2.95,60,4,2%,2004,0
Commercial Real Estate,ABC1000627,Retail space,1/1/18,7,"$10,909,899.80 ",5.92%,"$18,183,166.34 ","$1,227,363.73 ",1.9,60,10,8%,2003,0
Commercial Real Estate,ABC1000628,Retail space,1/1/11,9,"$6,181,346.66 ",4.59%,"$9,365,676.75 ","$357,768.85 ",1.26,120,114,5%,2006,0
Commercial Real Estate,ABC1000629,Office building,1/1/15,10,"$679,648.22 ",4.47%,"$943,955.87 ","$27,374.72 ",0.9,180,84,9%,2009,0
Commercial Real Estate,ABC1000630,Office building,1/1/14,6,"$13,823,228.98 ",5.42%,"$25,133,143.61 ","$1,306,923.47 ",1.74,60,19,13%,2003,0
Commercial Real Estate,ABC1000631,Retail space,1/1/16,11,"$1,697,039.07 ",5.96%,"$2,293,296.05 ","$68,798.88 ",0.68,60,35,32%,2006,0
Commercial Real Estate,ABC1000632,Office building,1/1/13,6,"$2,423,382.08 ",4.10%,"$3,972,757.51 ","$258,626.51 ",2.6,180,109,6%,2009,0
Commercial Real Estate,ABC1000633,Multifamily residential,1/1/18,7,"$2,644,304.53 ",4.94%,"$4,265,007.31 ","$228,604.39 ",1.75,60,58,3%,1997,0
Commercial Real Estate,ABC1000634,Office building,1/1/14,8,"$2,424,228.50 ",5.14%,"$3,787,857.02 ","$160,605.14 ",1.29,120,41,26%,2003,0
Commercial Real Estate,ABC1000635,Multifamily residential,1/1/14,8,"$3,163,519.44 ",5.34%,"$4,162,525.58 ","$375,043.55 ",2.22,60,50,2%,1999,0
Commercial Real Estate,ABC1000636,Retail space,1/1/19,5,"$5,475,590.25 ",4.63%,"$9,955,618.64 ","$630,190.66 ",2.49,120,72,3%,2006,0
Commercial Real Estate,ABC1000637,Retail space,1/1/13,12,"$10,245,884.78 ",4.12%,"$11,384,316.42 ","$599,953.48 ",1.42,60,38,2%,2000,0
Commercial Real Estate,ABC1000638,Multifamily residential,1/1/11,4,"$5,755,347.27 ",5.93%,"$11,284,994.64 ","$995,336.53 ",2.92,120,58,36%,1996,0
Commercial Real Estate,ABC1000639,Retail space,1/1/13,4,"$11,951,710.00 ",4.82%,"$19,919,516.67 ","$1,880,402.37 ",3.26,60,34,4%,1997,0
Commercial Real Estate,ABC1000640,Multifamily residential,1/1/18,4,"$2,528,904.32 ",4.01%,"$4,286,278.51 ","$364,762.30 ",3.6,120,61,35%,2003,0
Commercial Real Estate,ABC1000641,Retail space,1/1/13,8,"$2,579,561.46 ",5.26%,"$3,633,185.16 ","$313,543.88 ",2.31,120,104,10%,2009,0
Commercial Real Estate,ABC1000642,Multifamily residential,1/1/17,10,"$3,610,115.09 ",4.65%,"$4,688,461.16 ","$262,553.82 ",1.56,120,77,1%,2006,0
Commercial Real Estate,ABC1000643,Retail space,1/1/19,8,"$1,005,396.33 ",4.63%,"$1,500,591.53 ","$84,033.13 ",1.81,120,63,4%,2003,0
Commercial Real Estate,ABC1000644,Multifamily residential,1/1/14,8,"$11,944,722.41 ",5.15%,"$15,512,626.51 ","$1,503,173.51 ",2.44,60,30,35%,2002,0
Commercial Real Estate,ABC1000645,Office building,1/1/17,8,"$284,865.16 ",4.96%,"$390,226.24 ","$28,447.49 ",2.01,120,101,34%,2008,1
Commercial Real Estate,ABC1000646,Retail space,1/1/17,11,"$9,143,355.87 ",4.05%,"$10,884,947.46 ","$545,335.87 ",1.47,120,34,12%,2008,0
Commercial Real Estate,ABC1000647,Office building,1/1/15,7,"$13,941,966.72 ",5.78%,"$21,784,323.00 ","$1,500,939.85 ",1.86,60,17,11%,1999,0
Commercial Real Estate,ABC1000648,Office building,1/1/12,8,"$4,649,378.72 ",4.01%,"$6,038,154.19 ","$428,105.13 ",2.3,120,72,14%,1997,0
Commercial Real Estate,ABC1000649,Retail space,1/1/12,7,"$860,625.03 ",4.73%,"$1,344,726.61 ","$90,634.57 ",2.23,120,9,5%,1996,0
Commercial Real Estate,ABC1000650,Office building,1/1/14,10,"$15,283,395.59 ",4.27%,"$21,833,422.27 ","$307,851.25 ",0.47,120,1,9%,1998,0
Commercial Real Estate,ABC1000651,Multifamily residential,1/1/14,9,"$1,139,685.31 ",5.47%,"$1,780,758.30 ","$52,710.45 ",0.85,180,87,2%,2006,0
Commercial Real Estate,ABC1000652,Multifamily residential,1/1/19,5,"$998,509.16 ",4.24%,"$1,512,892.66 ","$132,680.69 ",3.13,60,12,40%,1996,0
Commercial Real Estate,ABC1000653,Multifamily residential,1/1/18,10,"$2,343,735.88 ",4.29%,"$3,083,863.00 ","$154,501.54 ",1.54,120,103,9%,2008,0
Commercial Real Estate,ABC1000654,Multifamily residential,1/1/18,10,"$1,263,617.66 ",4.10%,"$1,599,516.02 ","$78,216.33 ",1.51,60,29,7%,2005,0
Commercial Real Estate,ABC1000655,Retail space,1/1/17,4,"$566,419.79 ",5.24%,"$976,585.84 ","$109,572.93 ",3.69,120,109,2%,2005,0
Commercial Real Estate,ABC1000656,Retail space,1/1/19,9,"$1,281,276.06 ",5.90%,"$1,941,327.37 ","$89,106.93 ",1.18,180,10,9%,2008,0
Commercial Real Estate,ABC1000657,Office building,1/1/13,8,"$2,463,845.33 ",5.03%,"$3,973,944.08 ","$141,869.80 ",1.14,60,31,13%,1995,1
Commercial Real Estate,ABC1000658,Multifamily residential,1/1/15,9,"$1,701,030.81 ",5.37%,"$2,330,179.20 ","$148,898.45 ",1.63,60,24,38%,2006,0
Commercial Real Estate,ABC1000659,Retail space,1/1/12,9,"$1,970,242.03 ",4.11%,"$2,662,489.22 ","$152,028.13 ",1.88,120,73,9%,2006,0
Commercial Real Estate,ABC1000660,Retail space,1/1/13,9,"$463,992.25 ",4.63%,"$736,495.63 ","$14,656.26 ",0.68,60,38,1%,1997,0
Commercial Real Estate,ABC1000661,Retail space,1/1/14,8,"$4,341,944.29 ",5.52%,"$6,202,777.56 ","$401,319.71 ",1.67,60,31,5%,2002,0
Commercial Real Estate,ABC1000662,Retail space,1/1/18,7,"$4,266,591.65 ",4.49%,"$6,009,284.02 ","$558,262.49 ",2.91,60,34,15%,2002,0
Commercial Real Estate,ABC1000663,Retail space,1/1/15,9,"$710,259.46 ",4.08%,"$1,060,088.75 ","$40,177.36 ",1.39,60,46,3%,2009,1
Commercial Real Estate,ABC1000664,Office building,1/1/17,8,"$3,565,137.10 ",5.19%,"$5,658,947.78 ","$227,489.70 ",1.23,180,148,10%,2007,0
Commercial Real Estate,ABC1000665,Retail space,1/1/13,10,"$5,332,149.54 ",4.44%,"$6,749,556.38 ","$381,349.94 ",1.61,120,102,15%,2002,0
Commercial Real Estate,ABC1000666,Office building,1/1/18,8,"$1,917,954.16 ",4.56%,"$2,739,934.52 ","$175,629.80 ",2.01,180,82,5%,2000,1
Commercial Real Estate,ABC1000667,Office building,1/1/16,9,"$11,190,741.42 ",4.35%,"$13,988,426.77 ","$952,611.86 ",1.96,60,17,6%,2007,0
Commercial Real Estate,ABC1000668,Office building,1/1/18,10,"$7,595,211.60 ",4.47%,"$9,993,699.48 ","$390,753.65 ",1.15,120,118,8%,2005,0
Commercial Real Estate,ABC1000669,Multifamily residential,1/1/14,8,"$5,287,966.64 ",4.98%,"$7,776,421.52 ","$538,906.01 ",2.05,120,85,15%,2004,0
Commercial Real Estate,ABC1000670,Multifamily residential,1/1/18,9,"$6,935,411.06 ",5.69%,"$9,632,515.36 ","$499,927.55 ",1.27,120,6,3%,2008,0
Commercial Real Estate,ABC1000671,Multifamily residential,1/1/15,9,"$17,754,404.73 ",5.51%,"$25,363,435.32 ","$1,242,808.33 ",1.27,60,52,6%,2008,1
Commercial Real Estate,ABC1000672,Office building,1/1/16,8,"$9,498,596.81 ",5.53%,"$13,766,082.33 ","$1,069,624.60 ",2.04,60,42,1%,2000,0
Commercial Real Estate,ABC1000673,Multifamily residential,1/1/12,6,"$11,455,269.38 ",4.15%,"$17,356,468.76 ","$1,357,275.86 ",2.86,120,83,40%,1995,0
Commercial Real Estate,ABC1000674,Office building,1/1/11,4,"$1,138,206.09 ",5.32%,"$2,032,510.88 ","$180,486.97 ",2.98,120,15,7%,1998,0
Commercial Real Estate,ABC1000675,Retail space,1/1/18,6,"$5,726,727.71 ",5.52%,"$9,706,318.15 ","$628,969.42 ",1.99,120,5,7%,2000,0
Commercial Real Estate,ABC1000676,Multifamily residential,1/1/17,5,"$896,235.53 ",4.85%,"$1,493,725.88 ","$117,406.85 ",2.7,120,84,33%,1999,0
Commercial Real Estate,ABC1000677,Retail space,1/1/19,7,"$7,222,537.49 ",5.79%,"$12,452,650.84 ","$719,763.22 ",1.72,60,36,8%,2004,0
Commercial Real Estate,ABC1000678,Office building,1/1/11,9,"$1,112,390.13 ",5.89%,"$1,503,229.91 ","$125,219.05 ",1.91,60,53,26%,2002,0
Commercial Real Estate,ABC1000679,Retail space,1/1/19,8,"$7,022,699.22 ",4.17%,"$10,032,427.46 ","$547,770.54 ",1.87,120,11,11%,2002,0
Commercial Real Estate,ABC1000680,Multifamily residential,1/1/12,9,"$1,379,899.38 ",5.99%,"$2,122,922.12 ","$57,318.90 ",0.69,120,74,15%,2002,0
Commercial Real Estate,ABC1000681,Multifamily residential,1/1/14,6,"$2,149,893.36 ",4.66%,"$3,071,276.23 ","$289,007.09 ",2.88,60,36,15%,2003,0
Commercial Real Estate,ABC1000682,Retail space,1/1/11,9,"$3,922,056.26 ",4.36%,"$5,602,937.52 ","$225,798.38 ",1.32,60,1,3%,2005,1
Commercial Real Estate,ABC1000683,Office building,1/1/16,9,"$4,847,913.80 ",5.91%,"$7,345,323.94 ","$373,142.46 ",1.3,180,134,40%,2002,0
Commercial Real Estate,ABC1000684,Retail space,1/1/15,5,"$7,607,446.96 ",4.16%,"$13,584,726.71 ","$839,536.11 ",2.65,60,36,13%,2001,0
Commercial Real Estate,ABC1000685,Office building,1/1/17,8,"$7,285,656.62 ",4.23%,"$10,874,114.36 ","$479,548.44 ",1.56,120,55,1%,2007,0
Commercial Real Estate,ABC1000686,Multifamily residential,1/1/14,9,"$5,015,876.63 ",5.21%,"$6,966,495.31 ","$385,247.19 ",1.47,120,4,9%,2002,1
Commercial Real Estate,ABC1000687,Retail space,1/1/15,5,"$4,115,639.67 ",5.32%,"$6,859,399.45 ","$683,882.13 ",3.12,60,14,12%,2003,0
Commercial Real Estate,ABC1000688,Multifamily residential,1/1/17,7,"$3,461,298.76 ",4.62%,"$5,582,739.93 ","$289,744.20 ",1.81,60,30,10%,1996,0
Commercial Real Estate,ABC1000689,Office building,1/1/19,9,"$2,552,853.07 ",5.63%,"$3,646,932.95 ","$228,298.00 ",1.59,60,7,13%,2004,0
Commercial Real Estate,ABC1000690,Retail space,1/1/15,9,"$11,089,456.04 ",5.79%,"$15,618,952.17 ","$1,052,717.38 ",1.64,120,48,12%,1998,0
Commercial Real Estate,ABC1000691,Retail space,1/1/15,9,"$809,130.56 ",5.50%,"$1,264,266.50 ","$29,078.13 ",0.65,180,82,13%,2002,0
Commercial Real Estate,ABC1000692,Retail space,1/1/17,4,"$1,980,463.36 ",4.86%,"$3,600,842.47 ","$298,509.84 ",3.1,60,38,34%,1995,0
Commercial Real Estate,ABC1000693,Retail space,1/1/13,9,"$682,615.08 ",5.19%,"$922,452.81 ","$61,343.11 ",1.73,120,104,10%,2003,1
Commercial Real Estate,ABC1000694,Multifamily residential,1/1/12,7,"$2,332,335.94 ",5.08%,"$3,380,197.02 ","$322,808.82 ",2.72,120,25,8%,2003,0
Commercial Real Estate,ABC1000695,Retail space,1/1/19,9,"$8,013,684.23 ",4.76%,"$11,286,879.20 ","$623,035.73 ",1.63,120,28,38%,1999,0
Commercial Real Estate,ABC1000696,Retail space,1/1/13,9,"$1,312,338.96 ",5.46%,"$1,988,392.36 ","$55,476.15 ",0.77,60,34,12%,2009,1
Commercial Real Estate,ABC1000697,Retail space,1/1/18,7,"$2,026,691.72 ",4.32%,"$3,377,819.53 ","$141,192.86 ",1.61,60,16,6%,2003,0
Commercial Real Estate,ABC1000698,Multifamily residential,1/1/19,11,"$1,688,732.94 ",5.37%,"$2,483,430.80 ","$26,572.71 ",0.29,60,54,9%,2007,0
Commercial Real Estate,ABC1000699,Multifamily residential,1/1/12,7,"$6,359,702.94 ",4.60%,"$9,784,158.37 ","$592,920.00 ",2.03,60,16,8%,1999,0
Commercial Real Estate,ABC1000700,Multifamily residential,1/1/18,8,"$335,505.61 ",5.94%,"$516,162.48 ","$33,757.03 ",1.69,60,60,37%,2002,0
Commercial Real Estate,ABC1000701,Office building,1/1/15,8,"$1,630,096.94 ",5.17%,"$2,328,709.91 ","$144,612.89 ",1.72,60,32,29%,2002,0
Commercial Real Estate,ABC1000702,Office building,1/1/15,9,"$5,479,509.76 ",4.07%,"$7,116,246.44 ","$407,760.92 ",1.83,60,39,14%,2007,0
Commercial Real Estate,ABC1000703,Office building,1/1/12,5,"$605,675.54 ",4.48%,"$1,101,228.26 ","$68,716.64 ",2.53,120,108,1%,2007,0
Commercial Real Estate,ABC1000704,Multifamily residential,1/1/12,9,"$2,894,632.91 ",4.36%,"$3,965,250.56 ","$184,384.15 ",1.46,120,106,4%,2003,0
Commercial Real Estate,ABC1000705,Office building,1/1/17,11,"$4,942,699.00 ",5.08%,"$5,681,263.22 ","$368,713.98 ",1.47,60,19,6%,1997,0
Commercial Real Estate,ABC1000706,Multifamily residential,1/1/18,7,"$911,022.03 ",5.41%,"$1,469,390.37 ","$92,277.72 ",1.87,60,36,30%,2005,0
Commercial Real Estate,ABC1000707,Multifamily residential,1/1/12,7,"$3,448,393.50 ",4.84%,"$5,561,925.00 ","$343,726.97 ",2.06,120,75,28%,1999,0
Commercial Real Estate,ABC1000708,Retail space,1/1/17,6,"$5,743,904.57 ",5.35%,"$9,573,174.29 ","$610,768.52 ",1.99,60,60,14%,2005,0
Commercial Real Estate,ABC1000709,Office building,1/1/15,9,"$1,511,385.57 ",4.52%,"$1,962,838.40 ","$126,799.36 ",1.86,60,37,14%,2009,0
Commercial Real Estate,ABC1000710,Retail space,1/1/17,7,"$1,967,585.69 ",4.85%,"$3,451,904.72 ","$136,005.05 ",1.43,180,20,12%,2009,0
Commercial Real Estate,ABC1000711,Retail space,1/1/14,4,"$1,958,973.96 ",4.64%,"$3,696,177.28 ","$250,970.44 ",2.76,60,54,13%,2009,0
Commercial Real Estate,ABC1000712,Retail space,1/1/18,4,"$123,717.84 ",5.24%,"$224,941.54 ","$17,635.42 ",2.72,60,27,1%,2006,0
Commercial Real Estate,ABC1000713,Office building,1/1/14,10,"$3,987,598.22 ",5.05%,"$4,804,335.21 ","$391,072.89 ",1.94,60,2,5%,2006,0
Commercial Real Estate,ABC1000714,Retail space,1/1/11,12,"$9,308,974.42 ",5.34%,"$10,459,521.82 ","$735,304.38 ",1.48,180,75,11%,2000,0
Commercial Real Estate,ABC1000715,Retail space,1/1/13,6,"$1,201,194.87 ",4.47%,"$1,740,862.13 ","$176,001.16 ",3.28,60,45,1%,2006,0
Commercial Real Estate,ABC1000716,Retail space,1/1/18,7,"$596,722.09 ",5.82%,"$947,177.92 ","$64,786.97 ",1.87,60,47,1%,2008,0
Commercial Real Estate,ABC1000717,Retail space,1/1/14,6,"$2,420,818.61 ",5.58%,"$4,482,997.43 ","$255,979.15 ",1.89,180,126,5%,2008,0
Commercial Real Estate,ABC1000718,Retail space,1/1/18,7,"$8,675,439.21 ",4.82%,"$12,573,100.30 ","$930,409.42 ",2.23,120,52,6%,2000,0
Commercial Real Estate,ABC1000719,Office building,1/1/12,7,"$2,151,695.49 ",4.72%,"$3,470,476.60 ","$206,146.31 ",2.03,120,73,6%,2002,0
Commercial Real Estate,ABC1000720,Retail space,1/1/11,6,"$5,538,375.66 ",5.35%,"$8,791,072.47 ","$807,899.56 ",2.73,60,46,14%,2006,0
Commercial Real Estate,ABC1000721,Retail space,1/1/13,5,"$786,125.61 ",4.42%,"$1,267,944.53 ","$105,492.99 ",3.04,60,39,33%,1998,0
Commercial Real Estate,ABC1000722,Multifamily residential,1/1/11,6,"$3,442,856.42 ",4.13%,"$5,738,094.04 ","$303,545.17 ",2.13,60,14,11%,2003,0
Commercial Real Estate,ABC1000723,Retail space,1/1/15,8,"$1,921,163.13 ",4.05%,"$3,201,938.55 ","$101,821.65 ",1.31,60,3,12%,2003,0
Commercial Real Estate,ABC1000724,Retail space,1/1/18,7,"$14,355,457.08 ",5.61%,"$23,153,963.04 ","$1,616,146.62 ",2.01,60,52,7%,2005,0
Commercial Real Estate,ABC1000725,Retail space,1/1/17,6,"$4,258,703.89 ",5.13%,"$7,097,839.81 ","$452,842.18 ",2.07,60,39,5%,1997,0
Commercial Real Estate,ABC1000726,Retail space,1/1/12,8,"$3,498,762.75 ",5.06%,"$4,728,057.77 ","$454,366.35 ",2.57,180,156,2%,1995,0
Commercial Real Estate,ABC1000727,Retail space,1/1/12,7,"$6,446,320.07 ",5.25%,"$9,917,415.50 ","$743,806.16 ",2.2,60,60,1%,2009,0
Commercial Real Estate,ABC1000728,Retail space,1/1/15,10,"$3,272,616.85 ",5.78%,"$4,363,489.13 ","$253,082.37 ",1.34,60,23,10%,2006,0
Commercial Real Estate,ABC1000729,Retail space,1/1/12,9,"$2,694,457.30 ",4.74%,"$3,326,490.49 ","$305,371.83 ",2.39,120,6,33%,2006,0
Commercial Real Estate,ABC1000730,Multifamily residential,1/1/15,8,"$2,181,034.56 ",4.25%,"$3,029,214.66 ","$188,417.15 ",2.03,60,1,13%,2004,0
Commercial Real Estate,ABC1000731,Retail space,1/1/17,8,"$3,996,281.63 ",5.17%,"$5,550,391.16 ","$396,297.93 ",1.92,60,10,9%,2004,0
Commercial Real Estate,ABC1000732,Multifamily residential,1/1/14,8,"$12,216,106.32 ",4.93%,"$19,703,397.30 ","$656,123.13 ",1.09,120,10,15%,1996,0
